DBGWAS FinalAnnotation counts (excluding HigherPheno=Pheno0)
============================================================

count	FinalAnnotation
84	NA
4	degS
3	group_12865
3	livK
2	ridA
2	tdcF
2	group_14202
2	group_18716
2	group_3942
2	group_20713
2	group_10109
2	group_16273
2	275_13_23
1	group_13008
1	blc
1	group_20807
1	154_20_58
1	group_7043
1	group_16711
1	argA
1	group_9996
1	group_13401
1	group_14931
1	group_21129
1	group_3466
1	group_12760
1	nuoG
1	group_12738
1	axyZ
1	amrR
1	ttgR
1	group_9274
1	58_3_113
1	group_12023
1	4_12_107
1	group_19763
1	yebE
1	terB
1	tauC
1	ssuC
1	group_7773
1	247_47_17
1	group_13876
1	tarH
1	hutI
1	mET17
1	group_19707
1	yneE
1	group_8219
1	group_3847
1	leuS
1	group_10363
1	narK
1	128_0_349
1	94_60_3
1	149_26_36
1	group_21116
1	group_20849
1	group_16278
1	195_118_0
1	247_7_93
1	group_24233
1	group_14416
1	group_16589
1	122_1_417
1	198_3_89
1	group_20986
1	286_32_22
1	138_5_13
1	group_19413
1	group_16150
1	group_14695
1	fepA
1	ligA
1	91_29_20
1	csbC
1	fabG
1	glcE
1	lpd
1	group_10024
1	group_11781
1	247_47_4
1	238_6_92
1	gltB
1	putA
1	group_19548
1	group_14584
1	group_18498
1	238_61_5
1	group_28664
1	group_16839
1	yicI
1	155_2_136
1	298_0_389
1	155_77_0
1	group_21252
1	300_34_0
1	53_refound_528
1	17_refound_199
1	214_8_96
1	qseC
1	baeS
1	ppk1
1	264_23_60
1	group_11330
1	group_9711
1	290_17_37
1	group_10100
1	group_3075
1	287_16_35
1	yccS
1	group_10154
1	group_19467
1	160_2_250
1	dppB
1	114_1_136
1	cheY
1	195_703_0
1	group_15049
1	group_15623
1	154_45_4
1	47_6_86
1	ydfH
1	292_201_1
1	97_83_1
1	group_6987
1	group_13316
1	group_13102
1	group_13693
1	group_20768
1	mmsA
1	group_16702
1	group_14096
1	group_2696
1	group_12358
1	group_8152
1	group_11409
1	group_20861
1	40_10_40
1	group_9291
1	ycfP
1	hemS
1	group_10680
1	group_6695
1	amiR
1	group_18907
1	group_13895
1	group_13725
1	group_14167
1	group_14217
1	yjbI
1	ybbP
1	iaaH
1	group_14441
1	group_14973
1	40_77_7
1	group_19063
1	204_15_54
1	275_13_44
1	group_12401
1	ftsI
