variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_21050	9.50E-01	3.19E-01	2.09E-01	-2.61E-01	2.07E-01	7.28E-02	
tolA~~~psiF	9.50E-01	3.19E-01	6.32E-01	-1.02E-01	2.13E-01	2.78E-02	
group_20514	9.50E-01	3.02E-02	7.03E-01	-5.46E-02	1.43E-01	2.21E-02	
zraR~~~luxO	9.50E-01	3.19E-01	6.32E-01	-1.02E-01	2.13E-01	2.78E-02	
luxO~~~zraR~~~norR	9.50E-01	3.19E-01	6.32E-01	-1.02E-01	2.13E-01	2.78E-02	
group_20134	9.50E-01	3.19E-01	6.32E-01	-1.02E-01	2.13E-01	2.78E-02	
group_19784	9.50E-01	3.19E-01	6.32E-01	-1.02E-01	2.13E-01	2.78E-02	
lysM~~~fimV~~~rsgI2	9.50E-01	4.46E-01	9.04E-01	-1.28E-02	1.06E-01	6.98E-03	
group_19221	9.50E-01	3.19E-01	6.56E-01	-8.78E-02	1.97E-01	2.58E-02	
group_19126	9.50E-01	1.78E-01	8.21E-02	-1.73E-01	9.89E-02	1.01E-01	
group_19117	9.50E-01	6.82E-01	4.68E-01	-8.74E-02	1.20E-01	4.21E-02	
group_19077	9.50E-01	8.60E-01	4.90E-01	7.19E-02	1.04E-01	4.00E-02	
group_18921	9.50E-01	5.90E-03	2.57E-01	3.01E-01	2.65E-01	6.56E-02	
group_18718	9.50E-01	3.19E-01	4.38E-01	-1.58E-01	2.04E-01	4.50E-02	
ddpA~~~oppA	9.50E-01	3.02E-02	5.09E-01	-9.95E-02	1.50E-01	3.83E-02	
group_17951	9.50E-01	3.02E-02	5.18E-01	7.27E-02	1.12E-01	3.75E-02	
rstA~~~ompR	9.50E-01	5.90E-03	9.22E-01	-1.52E-02	1.56E-01	5.66E-03	
group_16590	9.50E-01	3.02E-02	3.88E-01	-1.42E-01	1.64E-01	5.00E-02	
group_15588	9.50E-01	3.02E-02	9.67E-01	-1.21E-02	2.93E-01	2.40E-03	
djlA~~~terB	9.50E-01	3.19E-01	4.57E-01	7.52E-02	1.01E-01	4.31E-02	
puuR	9.50E-01	3.02E-02	8.35E-01	-6.52E-02	3.14E-01	1.20E-02	
group_15159	9.50E-01	1.14E-01	8.47E-01	-4.45E-02	2.30E-01	1.12E-02	
group_15143	9.50E-01	4.46E-01	1.87E-01	-1.32E-01	1.00E-01	7.63E-02	
group_15106	9.50E-01	5.90E-03	6.54E-01	7.12E-02	1.59E-01	2.60E-02	
axyZ~~~amrR~~~ttgR	9.50E-01	5.90E-03	7.78E-01	-4.72E-02	1.67E-01	1.64E-02	
group_15066	9.50E-01	3.02E-02	8.35E-01	-6.52E-02	3.14E-01	1.20E-02	
ehuD~~~yecS	9.50E-01	3.02E-02	8.35E-01	-6.52E-02	3.14E-01	1.20E-02	
