variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19126	9.49E-01	3.32E-01	1.10E-01	-1.65E-01	1.03E-01	9.29E-02	
group_19077	9.49E-01	3.74E-02	8.93E-01	-1.44E-02	1.07E-01	7.86E-03	
group_17951	9.49E-01	7.08E-02	6.32E-01	5.37E-02	1.12E-01	2.79E-02	
group_15588	9.49E-01	7.08E-02	1.43E-01	-3.82E-01	2.60E-01	8.53E-02	
djlA~~~terB	9.49E-01	7.08E-02	3.15E-01	1.04E-01	1.03E-01	5.85E-02	
group_15159	9.49E-01	2.11E-01	4.81E-01	-1.62E-01	2.30E-01	4.11E-02	
group_15143	9.49E-01	3.74E-02	2.08E-02	-2.43E-01	1.05E-01	1.34E-01	
cytC556	9.49E-01	8.88E-01	7.28E-01	-3.58E-02	1.03E-01	2.02E-02	
group_14433	9.49E-01	8.88E-01	6.87E-01	-4.19E-02	1.04E-01	2.35E-02	
group_14158	9.49E-01	4.87E-01	7.69E-01	-3.16E-02	1.07E-01	1.71E-02	
rfaD	9.49E-01	8.36E-03	2.50E-01	1.21E-01	1.05E-01	6.70E-02	
purA	9.49E-01	4.87E-01	4.30E-01	-8.03E-02	1.02E-01	4.59E-02	
group_9147	9.49E-01	1.78E-04	6.41E-01	5.07E-02	1.09E-01	2.72E-02	
group_19672	9.49E-01	8.88E-01	6.89E-01	-5.74E-02	1.43E-01	2.33E-02	
group_19630	9.49E-01	8.88E-01	6.67E-01	-6.66E-02	1.55E-01	2.51E-02	
group_19463	9.49E-01	7.08E-02	8.19E-01	4.03E-02	1.77E-01	1.33E-02	
group_19422	9.46E-01	7.45E-01	8.60E-02	1.73E-01	1.00E-01	9.98E-02	
group_17888	9.49E-01	7.08E-02	7.32E-01	-6.06E-02	1.77E-01	2.00E-02	
perM~~~ydiK	9.46E-01	7.45E-01	6.60E-01	-4.50E-02	1.02E-01	2.56E-02	
group_16848	9.46E-01	1.96E-01	1.96E-01	-1.27E-01	9.83E-02	7.53E-02	
group_16832	9.46E-01	5.22E-02	7.82E-01	-5.58E-02	2.02E-01	1.61E-02	
nIF3	9.49E-01	4.87E-01	7.15E-01	3.72E-02	1.02E-01	2.13E-02	
group_16783	9.46E-01	7.45E-01	6.62E-01	-4.40E-02	1.01E-01	2.55E-02	
group_15985	9.49E-01	7.08E-02	8.23E-01	3.64E-02	1.63E-01	1.31E-02	
group_15964	9.49E-01	7.08E-02	8.23E-01	3.64E-02	1.63E-01	1.31E-02	
group_15953	9.46E-01	5.67E-04	7.45E-01	3.32E-02	1.02E-01	1.89E-02	
group_15952	9.49E-01	7.08E-02	8.23E-01	3.64E-02	1.63E-01	1.31E-02	
group_15938	9.49E-01	7.08E-02	8.23E-01	3.64E-02	1.63E-01	1.31E-02	
tex	9.46E-01	1.61E-01	5.65E-01	5.84E-02	1.01E-01	3.35E-02	
group_15218	9.49E-01	6.78E-01	6.10E-01	-6.69E-02	1.31E-01	2.97E-02	
group_15200	9.49E-01	2.11E-01	5.49E-01	7.18E-02	1.20E-01	3.49E-02	
group_15078	9.46E-01	7.45E-01	6.78E-01	-4.13E-02	9.95E-02	2.42E-02	
vacB	9.46E-01	1.96E-01	3.38E-01	-9.37E-02	9.77E-02	5.58E-02	
sfcA	9.46E-01	4.52E-01	7.20E-01	3.59E-02	1.00E-01	2.09E-02	
fliJ	9.46E-01	1.31E-02	4.43E-02	2.01E-01	9.97E-02	1.17E-01	bad-chisq
plcC	9.46E-01	1.61E-01	7.20E-01	-7.05E-02	1.97E-01	2.09E-02	
yhfF	9.49E-01	2.11E-01	4.93E-01	-1.28E-01	1.87E-01	3.99E-02	
group_13036	9.49E-01	7.08E-02	5.73E-01	-1.19E-01	2.12E-01	3.28E-02	
group_12948	9.49E-01	7.08E-02	9.33E-01	-1.67E-02	1.99E-01	4.88E-03	
group_12292	9.49E-01	7.08E-02	5.73E-01	-1.19E-01	2.12E-01	3.28E-02	
livM~~~livH	9.49E-01	7.08E-02	5.73E-01	-1.19E-01	2.12E-01	3.28E-02	
group_11799	9.46E-01	1.31E-02	6.86E-01	-9.03E-02	2.23E-01	2.36E-02	bad-chisq
group_11745	9.49E-01	4.87E-01	1.68E-01	-2.37E-01	1.72E-01	8.02E-02	
group_11617	9.46E-01	3.88E-01	8.02E-01	-2.56E-02	1.02E-01	1.46E-02	
group_11351	9.49E-01	7.08E-02	5.73E-01	-1.19E-01	2.12E-01	3.28E-02	
group_10492	9.49E-01	4.87E-01	1.69E-01	-2.37E-01	1.72E-01	8.01E-02	
group_8741	9.46E-01	4.52E-01	1.32E-01	-1.49E-01	9.88E-02	8.75E-02	
group_21136	9.46E-01	3.88E-01	9.76E-01	-4.50E-03	1.52E-01	1.73E-03	
