variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
lysM~~~fimV~~~rsgI2	9.49E-01	5.27E-02	2.07E-01	1.14E-01	9.03E-02	7.35E-02	bad-chisq
group_19126	9.49E-01	4.51E-01	1.26E-01	-1.31E-01	8.54E-02	8.91E-02	
group_19117	9.49E-01	5.54E-01	5.01E-01	-6.65E-02	9.88E-02	3.92E-02	
group_19077	9.49E-01	5.69E-04	5.46E-02	-1.70E-01	8.81E-02	1.12E-01	
group_17951	9.49E-01	2.06E-01	8.91E-01	1.26E-02	9.25E-02	7.96E-03	bad-chisq
group_15588	9.49E-01	5.27E-02	8.40E-01	4.26E-02	2.10E-01	1.18E-02	bad-chisq
djlA~~~terB	9.49E-01	2.06E-01	7.47E-01	2.77E-02	8.59E-02	1.88E-02	bad-chisq
group_15159	9.49E-01	2.06E-01	6.37E-01	8.88E-02	1.88E-01	2.75E-02	bad-chisq
group_15143	9.49E-01	5.54E-01	2.16E-01	1.08E-01	8.73E-02	7.20E-02	
cytC556	9.49E-01	9.35E-01	3.01E-01	-8.82E-02	8.53E-02	6.02E-02	
group_14473	9.49E-01	9.35E-01	2.09E-01	1.20E-01	9.52E-02	7.32E-02	
group_14433	9.49E-01	9.35E-01	2.73E-01	-9.46E-02	8.61E-02	6.38E-02	
group_14158	9.49E-01	5.54E-01	4.43E-01	-6.83E-02	8.90E-02	4.47E-02	
rfaD	9.49E-01	3.57E-02	4.79E-02	1.72E-01	8.68E-02	1.15E-01	
purA	9.49E-01	2.06E-01	9.42E-01	6.17E-03	8.47E-02	4.24E-03	bad-chisq
group_9147	9.49E-01	3.81E-05	8.35E-01	1.88E-02	9.04E-02	1.21E-02	
group_20646	9.49E-01	5.27E-02	1.87E-01	1.95E-01	1.47E-01	7.68E-02	bad-chisq
group_20434	9.49E-01	2.06E-01	5.98E-01	8.11E-02	1.54E-01	3.07E-02	bad-chisq
tetR~~~yxaF	9.49E-01	2.06E-01	5.98E-01	8.11E-02	1.54E-01	3.07E-02	bad-chisq
group_19769	9.49E-01	5.27E-02	7.16E-01	5.60E-02	1.54E-01	2.12E-02	bad-chisq
eAL~~~rcsC	9.49E-01	5.27E-02	7.16E-01	5.60E-02	1.54E-01	2.12E-02	bad-chisq
group_19745	9.49E-01	4.51E-01	4.37E-02	-2.54E-01	1.25E-01	1.17E-01	
group_19738	9.49E-01	4.51E-01	4.37E-02	-2.54E-01	1.25E-01	1.17E-01	
group_19672	9.49E-01	4.51E-01	7.22E-02	-2.12E-01	1.18E-01	1.04E-01	
group_19630	9.49E-01	4.51E-01	4.71E-02	-2.52E-01	1.27E-01	1.15E-01	
group_19463	9.49E-01	5.27E-02	1.82E-01	1.92E-01	1.43E-01	7.77E-02	bad-chisq
group_19422	9.46E-01	5.59E-02	4.07E-01	-6.93E-02	8.35E-02	4.83E-02	
group_18926	9.49E-01	5.27E-02	9.53E-01	2.24E-02	3.82E-01	3.42E-03	bad-chisq
group_18878	9.49E-01	5.27E-02	9.53E-01	2.24E-02	3.82E-01	3.42E-03	bad-chisq
group_18856	9.49E-01	5.27E-02	9.53E-01	2.24E-02	3.82E-01	3.42E-03	bad-chisq
group_17888	9.49E-01	5.27E-02	7.00E-01	5.59E-02	1.45E-01	2.25E-02	bad-chisq
perM~~~ydiK	9.46E-01	9.63E-01	2.07E-01	-1.07E-01	8.47E-02	7.35E-02	
group_16848	9.49E-01	4.51E-01	3.08E-01	-8.62E-02	8.43E-02	5.94E-02	
group_16832	9.46E-01	1.77E-01	5.65E-01	-9.53E-02	1.65E-01	3.35E-02	bad-chisq
nIF3	9.49E-01	2.06E-01	1.89E-01	1.11E-01	8.43E-02	7.65E-02	bad-chisq
group_16783	9.49E-01	5.54E-01	5.15E-01	-5.61E-02	8.59E-02	3.80E-02	
group_15985	9.49E-01	5.54E-01	2.33E-01	-1.57E-01	1.32E-01	6.94E-02	
group_15964	9.49E-01	5.54E-01	2.33E-01	-1.57E-01	1.32E-01	6.94E-02	
group_15953	9.46E-01	6.11E-06	2.85E-01	-9.12E-02	8.51E-02	6.23E-02	
group_15952	9.49E-01	5.54E-01	2.33E-01	-1.57E-01	1.32E-01	6.94E-02	
group_15938	9.49E-01	5.54E-01	2.33E-01	-1.57E-01	1.32E-01	6.94E-02	
group_15513	9.49E-01	2.06E-01	7.76E-01	-4.14E-02	1.45E-01	1.66E-02	bad-chisq
tex	9.49E-01	5.54E-01	9.95E-01	5.14E-04	8.72E-02	3.43E-04	
group_15423	9.49E-01	2.06E-01	7.76E-01	-4.14E-02	1.45E-01	1.66E-02	bad-chisq
group_15305	9.49E-01	2.06E-01	7.76E-01	-4.14E-02	1.45E-01	1.66E-02	bad-chisq
group_15218	9.49E-01	3.57E-02	1.03E-02	-2.78E-01	1.08E-01	1.49E-01	
group_15200	9.46E-01	4.85E-01	6.06E-01	4.89E-02	9.46E-02	3.01E-02	
group_15078	9.46E-01	1.77E-01	7.39E-01	2.76E-02	8.29E-02	1.94E-02	bad-chisq
vacB	9.46E-01	4.85E-01	2.30E-01	9.77E-02	8.12E-02	6.99E-02	
group_14798	9.49E-01	9.35E-01	1.92E-01	-1.58E-01	1.21E-01	7.59E-02	
group_14560	9.49E-01	9.35E-01	1.92E-01	-1.58E-01	1.21E-01	7.59E-02	
sfcA	9.46E-01	2.08E-01	7.21E-01	-2.98E-02	8.34E-02	2.08E-02	
fliJ	9.46E-01	4.51E-02	3.26E-01	8.18E-02	8.32E-02	5.72E-02	bad-chisq
group_13903	9.49E-01	5.27E-02	6.40E-01	6.97E-02	1.49E-01	2.73E-02	bad-chisq
plcC	9.46E-01	1.77E-01	6.04E-01	8.38E-02	1.62E-01	3.02E-02	bad-chisq
yhfF	9.49E-01	2.06E-01	7.79E-01	-4.24E-02	1.51E-01	1.64E-02	bad-chisq
group_13036	9.49E-01	2.06E-01	2.06E-01	-2.16E-01	1.71E-01	7.36E-02	bad-chisq
group_12948	9.49E-01	5.27E-02	6.46E-01	7.34E-02	1.60E-01	2.68E-02	bad-chisq
group_12517	9.49E-01	2.06E-01	5.78E-01	-9.75E-02	1.75E-01	3.24E-02	bad-chisq
group_12292	9.49E-01	2.06E-01	2.06E-01	-2.16E-01	1.71E-01	7.36E-02	bad-chisq
livM~~~livH	9.49E-01	2.06E-01	2.06E-01	-2.16E-01	1.71E-01	7.36E-02	bad-chisq
group_11799	9.46E-01	1.77E-01	1.77E-01	-2.44E-01	1.81E-01	7.85E-02	bad-chisq
group_11745	9.49E-01	2.06E-01	1.57E-01	2.01E-01	1.41E-01	8.24E-02	bad-chisq
group_11617	9.46E-01	4.85E-01	4.68E-01	-6.15E-02	8.45E-02	4.23E-02	
group_11351	9.49E-01	2.06E-01	2.06E-01	-2.16E-01	1.71E-01	7.36E-02	bad-chisq
group_10492	9.49E-01	2.06E-01	1.57E-01	2.00E-01	1.41E-01	8.23E-02	bad-chisq
group_8741	9.46E-01	4.85E-01	8.61E-01	1.44E-02	8.24E-02	1.02E-02	
group_21136	9.46E-01	9.63E-01	1.38E-01	-1.83E-01	1.23E-01	8.62E-02	
group_21126	9.46E-01	4.51E-02	8.15E-01	5.69E-02	2.43E-01	1.36E-02	bad-chisq
group_20880	9.46E-01	1.77E-01	8.84E-01	-1.94E-02	1.33E-01	8.49E-03	bad-chisq
group_20879	9.46E-01	1.77E-01	8.84E-01	-1.94E-02	1.33E-01	8.49E-03	bad-chisq
group_20878	9.46E-01	1.77E-01	8.84E-01	-1.94E-02	1.33E-01	8.49E-03	bad-chisq
group_20809	9.43E-01	1.51E-01	9.65E-01	4.46E-03	1.02E-01	2.53E-03	bad-chisq
group_20761	9.43E-01	1.51E-01	9.65E-01	4.46E-03	1.02E-01	2.53E-03	bad-chisq
group_20715	9.43E-01	1.51E-01	9.65E-01	4.46E-03	1.02E-01	2.53E-03	bad-chisq
group_20713	9.43E-01	1.51E-01	9.65E-01	4.46E-03	1.02E-01	2.53E-03	bad-chisq
mdtD~~~emrB	9.46E-01	1.77E-01	1.66E-01	1.91E-01	1.38E-01	8.05E-02	bad-chisq
ankX~~~aNKYR	9.43E-01	8.25E-02	6.28E-02	1.53E-01	8.20E-02	1.08E-01	
group_19728	9.46E-01	4.51E-02	7.05E-01	5.98E-02	1.57E-01	2.21E-02	bad-chisq
group_19387	9.46E-01	1.77E-01	3.41E-01	-2.28E-01	2.40E-01	5.54E-02	bad-chisq
ybjG~~~pgpB	9.43E-01	4.23E-01	9.98E-01	1.56E-04	8.19E-02	1.11E-04	
group_18877	9.46E-01	4.51E-02	1.05E-01	3.88E-01	2.39E-01	9.43E-02	bad-chisq
group_18872	9.46E-01	4.51E-02	7.32E-01	5.22E-02	1.52E-01	2.00E-02	bad-chisq
group_18748	9.43E-01	4.23E-01	9.84E-01	-2.34E-03	1.13E-01	1.20E-03	
group_18741	9.46E-01	4.51E-02	8.66E-01	2.72E-02	1.61E-01	9.85E-03	bad-chisq
rutB~~~yecD	9.46E-01	1.77E-01	3.41E-01	-2.28E-01	2.40E-01	5.54E-02	bad-chisq
group_18169	9.46E-01	1.77E-01	3.40E-01	-2.29E-01	2.39E-01	5.55E-02	bad-chisq
group_18168	9.46E-01	1.77E-01	3.40E-01	-2.29E-01	2.39E-01	5.55E-02	bad-chisq
group_17942	9.46E-01	1.77E-01	3.40E-01	-2.29E-01	2.39E-01	5.55E-02	bad-chisq
group_17681	9.46E-01	4.51E-02	8.31E-01	5.20E-02	2.44E-01	1.24E-02	bad-chisq
group_17552	9.43E-01	8.68E-01	4.86E-01	-5.77E-02	8.26E-02	4.06E-02	
group_17480	9.46E-01	1.77E-01	3.41E-01	-2.28E-01	2.40E-01	5.54E-02	bad-chisq
group_17423	9.46E-01	1.77E-01	3.41E-01	-2.28E-01	2.40E-01	5.54E-02	bad-chisq
group_17263	9.46E-01	4.51E-02	8.31E-01	5.20E-02	2.44E-01	1.24E-02	bad-chisq
group_16942	9.46E-01	4.51E-02	8.31E-01	5.20E-02	2.44E-01	1.24E-02	bad-chisq
group_16937	9.46E-01	9.63E-01	2.25E-01	-1.51E-01	1.24E-01	7.06E-02	
trmL	9.43E-01	3.85E-02	3.66E-01	8.80E-02	9.71E-02	5.27E-02	bad-chisq
