variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_21050	9.49E-01	2.83E-01	1.18E-01	-3.20E-01	2.04E-01	9.10E-02	
tolA~~~psiF	9.49E-01	2.83E-01	1.45E-01	-3.00E-01	2.06E-01	8.48E-02	
group_20514	9.49E-01	2.83E-01	7.42E-01	4.74E-02	1.44E-01	1.92E-02	
zraR~~~luxO	9.49E-01	2.83E-01	1.45E-01	-3.00E-01	2.06E-01	8.48E-02	
luxO~~~zraR~~~norR	9.49E-01	2.83E-01	1.45E-01	-3.00E-01	2.06E-01	8.48E-02	
group_20134	9.49E-01	2.83E-01	1.45E-01	-3.00E-01	2.06E-01	8.48E-02	
group_19784	9.49E-01	2.83E-01	1.45E-01	-3.00E-01	2.06E-01	8.48E-02	
lysM~~~fimV~~~rsgI2	9.49E-01	6.11E-01	8.33E-01	2.29E-02	1.09E-01	1.23E-02	
group_19221	9.49E-01	2.83E-01	6.33E-01	-9.59E-02	2.01E-01	2.78E-02	
group_19126	9.49E-01	9.54E-01	4.02E-01	-8.61E-02	1.02E-01	4.88E-02	
group_19117	9.49E-01	1.01E-01	8.85E-01	1.73E-02	1.19E-01	8.44E-03	
group_19077	9.49E-01	2.05E-02	6.17E-01	-5.33E-02	1.06E-01	2.91E-02	
group_18921	9.49E-01	2.76E-02	7.87E-01	6.56E-02	2.42E-01	1.58E-02	bad-chisq
group_18718	9.49E-01	1.01E-01	7.35E-01	6.88E-02	2.03E-01	1.97E-02	
ddpA~~~oppA	9.49E-01	6.11E-01	1.37E-01	-2.27E-01	1.52E-01	8.65E-02	
group_17951	9.49E-01	6.11E-01	4.53E-01	-8.39E-02	1.12E-01	4.37E-02	
rstA~~~ompR	9.49E-01	6.11E-01	8.19E-03	-4.13E-01	1.55E-01	1.53E-01	
group_16590	9.49E-01	2.83E-01	9.09E-02	-2.74E-01	1.62E-01	9.83E-02	
group_15588	9.49E-01	2.76E-02	2.74E-01	-2.88E-01	2.63E-01	6.37E-02	bad-chisq
