variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19077	9.49E-01	1.05E-01	7.46E-01	-3.47E-02	1.07E-01	1.90E-02	
group_17951	9.49E-01	7.19E-01	4.04E-01	-9.15E-02	1.10E-01	4.89E-02	
group_15588	9.49E-01	3.67E-01	8.53E-01	-3.78E-02	2.04E-01	1.09E-02	
djlA~~~terB	9.49E-01	3.67E-01	8.53E-01	1.93E-02	1.04E-01	1.09E-02	
group_15159	9.49E-01	3.67E-01	6.96E-01	7.56E-02	1.93E-01	2.29E-02	
group_15143	9.49E-01	7.19E-01	7.50E-01	-3.37E-02	1.06E-01	1.87E-02	
cytC556	9.49E-01	3.67E-01	7.50E-01	3.32E-02	1.04E-01	1.87E-02	
group_14473	9.49E-01	7.86E-01	4.80E-01	8.15E-02	1.15E-01	4.14E-02	
group_14433	9.49E-01	7.86E-01	8.77E-01	-1.62E-02	1.04E-01	9.07E-03	
group_14158	9.49E-01	7.86E-01	7.23E-01	-3.81E-02	1.07E-01	2.08E-02	
rfaD	9.49E-01	2.42E-02	9.06E-01	-1.27E-02	1.08E-01	6.90E-03	
purA	9.49E-01	3.67E-01	9.78E-01	2.83E-03	1.04E-01	1.59E-03	
group_9147	9.49E-01	2.42E-02	7.05E-01	4.23E-02	1.12E-01	2.22E-02	
group_19422	9.45E-01	4.12E-01	9.47E-01	6.84E-03	1.02E-01	3.93E-03	
perM~~~ydiK	9.45E-01	3.10E-01	9.34E-01	8.57E-03	1.03E-01	4.86E-03	
group_16848	9.49E-01	3.67E-01	4.43E-01	7.97E-02	1.04E-01	4.50E-02	
group_16832	9.45E-01	3.10E-01	8.75E-01	2.75E-02	1.75E-01	9.21E-03	
nIF3	9.49E-01	7.86E-01	9.07E-01	-1.21E-02	1.04E-01	6.84E-03	
group_16783	9.49E-01	7.86E-01	5.08E-01	-6.96E-02	1.05E-01	3.89E-02	
group_15953	9.45E-01	7.86E-03	6.15E-01	-5.31E-02	1.06E-01	2.95E-02	
tex	9.49E-01	3.67E-01	4.51E-01	8.02E-02	1.06E-01	4.42E-02	
group_15200	9.45E-01	3.10E-01	3.83E-01	9.84E-02	1.13E-01	5.11E-02	
