variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_18834	9.48E-01	8.31E-01	5.63E-01	-8.20E-02	1.42E-01	3.53E-02	
group_17553	9.48E-01	7.36E-01	7.70E-01	-4.04E-02	1.38E-01	1.79E-02	
group_15503	9.48E-01	1.51E-01	8.29E-01	-4.26E-02	1.97E-01	1.32E-02	
group_15290	9.48E-01	1.51E-01	8.96E-01	-2.50E-02	1.90E-01	8.01E-03	
group_15271	9.48E-01	8.31E-01	9.45E-01	-9.33E-03	1.35E-01	4.23E-03	
prmA	9.48E-01	3.75E-01	3.57E-01	1.24E-01	1.34E-01	5.62E-02	
ycfP	9.48E-01	1.51E-01	1.15E-01	2.12E-01	1.34E-01	9.61E-02	
mpl	9.48E-01	1.51E-01	1.15E-01	2.12E-01	1.34E-01	9.61E-02	
group_14198	9.48E-01	4.46E-01	1.46E-01	-2.07E-01	1.42E-01	8.85E-02	
resA~~~tlpA~~~trxA	9.48E-01	1.51E-01	1.15E-01	2.12E-01	1.34E-01	9.61E-02	
group_13785	9.48E-01	4.46E-01	6.45E-01	-6.23E-02	1.35E-01	2.81E-02	
group_13643	9.48E-01	1.51E-01	1.15E-01	2.12E-01	1.34E-01	9.61E-02	
group_13565	9.48E-01	1.51E-01	1.15E-01	2.12E-01	1.34E-01	9.61E-02	
mnmA	9.48E-01	4.46E-01	6.45E-01	-6.23E-02	1.35E-01	2.81E-02	
group_12986	9.48E-01	1.51E-01	1.42E-01	1.97E-01	1.34E-01	8.94E-02	
group_12490	9.48E-01	1.51E-01	3.25E-01	1.37E-01	1.39E-01	6.00E-02	
lysM~~~fimV~~~rsgI2	9.45E-01	9.64E-01	8.76E-01	-2.07E-02	1.33E-01	9.51E-03	
group_19126	9.48E-01	1.89E-01	1.95E-01	-1.74E-01	1.34E-01	7.89E-02	
group_19117	9.48E-01	3.75E-01	7.83E-01	3.88E-02	1.41E-01	1.68E-02	
group_19077	9.48E-01	6.26E-02	1.31E-02	-3.38E-01	1.35E-01	1.50E-01	
ddpA~~~oppA	9.48E-01	1.12E-02	1.33E-01	2.30E-01	1.52E-01	9.16E-02	
group_17951	9.48E-01	8.31E-01	7.31E-01	-4.72E-02	1.37E-01	2.10E-02	
group_16590	9.48E-01	1.12E-02	1.74E-01	2.16E-01	1.58E-01	8.29E-02	
group_15588	9.45E-01	1.01E-01	8.25E-01	4.04E-02	1.82E-01	1.35E-02	
djlA~~~terB	9.45E-01	5.64E-01	3.25E-01	1.29E-01	1.31E-01	6.00E-02	
group_15159	9.45E-01	1.01E-01	8.47E-01	3.43E-02	1.78E-01	1.18E-02	
group_15143	9.45E-01	2.97E-02	4.97E-02	2.56E-01	1.30E-01	1.19E-01	
group_15106	9.48E-01	1.12E-02	1.26E-01	2.33E-01	1.52E-01	9.31E-02	
axyZ~~~amrR~~~ttgR	9.48E-01	2.03E-03	4.52E-02	3.14E-01	1.56E-01	1.22E-01	bad-chisq
group_14864	9.48E-01	1.12E-02	1.40E-01	2.19E-01	1.48E-01	9.00E-02	
cytC556	9.45E-01	6.26E-01	9.51E-01	-8.08E-03	1.31E-01	3.76E-03	
group_14473	9.45E-01	3.08E-01	8.46E-02	-2.37E-01	1.37E-01	1.05E-01	
group_14433	9.45E-01	3.08E-01	4.83E-01	-9.17E-02	1.30E-01	4.28E-02	
group_14158	9.45E-01	3.08E-01	4.35E-01	-1.03E-01	1.32E-01	4.76E-02	
group_14087	9.48E-01	2.03E-03	4.27E-02	3.26E-01	1.60E-01	1.23E-01	bad-chisq
group_13253	9.48E-01	2.03E-03	4.34E-02	3.34E-01	1.64E-01	1.23E-01	bad-chisq
group_12576	9.48E-01	2.03E-03	4.34E-02	3.34E-01	1.64E-01	1.23E-01	bad-chisq
paaY	9.48E-01	1.51E-01	6.25E-01	7.31E-02	1.50E-01	2.98E-02	
purA	9.45E-01	1.21E-01	1.78E-01	-1.76E-01	1.30E-01	8.20E-02	
group_9147	9.45E-01	1.01E-01	1.70E-01	1.91E-01	1.39E-01	8.37E-02	
group_8692	9.48E-01	1.12E-02	1.27E-01	2.29E-01	1.50E-01	9.29E-02	
group_8588	9.48E-01	2.03E-03	4.34E-02	3.34E-01	1.64E-01	1.23E-01	bad-chisq
group_20646	9.48E-01	3.75E-01	8.74E-01	2.61E-02	1.64E-01	9.67E-03	
group_20434	9.48E-01	3.75E-01	8.82E-01	-2.50E-02	1.68E-01	9.06E-03	
tetR~~~yxaF	9.48E-01	3.75E-01	8.82E-01	-2.50E-02	1.68E-01	9.06E-03	
group_19769	9.48E-01	1.51E-01	4.79E-01	1.19E-01	1.68E-01	4.31E-02	
eAL~~~rcsC	9.48E-01	1.51E-01	4.79E-01	1.19E-01	1.68E-01	4.31E-02	
group_19672	9.45E-01	6.81E-03	1.15E-01	2.31E-01	1.46E-01	9.60E-02	
group_19630	9.45E-01	6.81E-03	1.40E-01	2.22E-01	1.50E-01	9.00E-02	
group_19463	9.48E-01	2.03E-03	3.80E-02	3.28E-01	1.58E-01	1.26E-01	bad-chisq
group_19422	9.45E-01	2.67E-01	2.98E-01	1.37E-01	1.32E-01	6.34E-02	
group_18926	9.48E-01	3.75E-01	5.23E-01	-1.30E-01	2.04E-01	3.90E-02	
group_18878	9.48E-01	3.75E-01	5.23E-01	-1.30E-01	2.04E-01	3.90E-02	
group_18856	9.48E-01	3.75E-01	5.23E-01	-1.30E-01	2.04E-01	3.90E-02	
group_17888	9.45E-01	2.97E-02	2.69E-01	1.74E-01	1.57E-01	6.74E-02	
perM~~~ydiK	9.41E-01	2.07E-01	3.30E-01	-1.25E-01	1.28E-01	5.94E-02	
group_16848	9.48E-01	4.46E-01	7.57E-01	-4.19E-02	1.35E-01	1.89E-02	
group_16832	9.41E-01	1.87E-01	8.37E-01	-3.45E-02	1.68E-01	1.25E-02	
nIF3	9.45E-01	9.64E-01	7.75E-01	3.73E-02	1.30E-01	1.74E-02	
group_16783	9.45E-01	3.08E-01	5.51E-01	-7.86E-02	1.31E-01	3.64E-02	
group_15985	9.45E-01	6.81E-03	5.64E-02	2.76E-01	1.44E-01	1.16E-01	
group_15964	9.45E-01	6.81E-03	5.64E-02	2.76E-01	1.44E-01	1.16E-01	
group_15953	9.41E-01	1.87E-01	2.59E-01	1.50E-01	1.32E-01	6.88E-02	
group_15952	9.45E-01	6.81E-03	5.64E-02	2.76E-01	1.44E-01	1.16E-01	
group_15938	9.45E-01	6.81E-03	5.64E-02	2.76E-01	1.44E-01	1.16E-01	
group_15513	9.48E-01	7.36E-01	5.41E-01	-1.00E-01	1.64E-01	3.73E-02	
tex	9.45E-01	9.64E-01	9.31E-01	1.16E-02	1.32E-01	5.32E-03	
group_15423	9.48E-01	7.36E-01	5.41E-01	-1.00E-01	1.64E-01	3.73E-02	
group_15305	9.48E-01	7.36E-01	5.41E-01	-1.00E-01	1.64E-01	3.73E-02	
group_15218	9.45E-01	1.01E-01	5.59E-01	8.36E-02	1.43E-01	3.57E-02	
group_15200	9.41E-01	4.56E-01	1.43E-01	-1.96E-01	1.34E-01	8.91E-02	
group_15078	9.48E-01	4.46E-01	8.46E-01	-2.65E-02	1.36E-01	1.18E-02	
vacB	9.45E-01	2.67E-01	2.01E-01	1.67E-01	1.30E-01	7.79E-02	
group_14798	9.48E-01	1.51E-01	5.24E-01	9.71E-02	1.52E-01	3.89E-02	
group_14560	9.48E-01	1.51E-01	5.24E-01	9.71E-02	1.52E-01	3.89E-02	
sfcA	9.41E-01	4.21E-01	7.03E-01	4.87E-02	1.28E-01	2.32E-02	
fliJ	9.41E-01	8.19E-01	9.74E-01	4.20E-03	1.27E-01	2.02E-03	
group_13903	9.48E-01	3.75E-01	8.63E-01	2.83E-02	1.65E-01	1.05E-02	
plcC	9.45E-01	2.97E-02	3.05E-01	1.82E-01	1.77E-01	6.25E-02	
yhfF	9.48E-01	2.03E-03	5.81E-02	3.04E-01	1.60E-01	1.15E-01	bad-chisq
