Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P3090_PCD_20072020-0	DACHOD_01970	contig_10	76025	76522	-	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100.00	93.33	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA
P3090_PCD_20072020-0	DACHOD_01971	contig_10	76519	78234	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	91.24	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P3090_PCD_20072020-0	DACHOD_01972	contig_10	78238	78678	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	97.26	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P3090_PCD_20072020-0	DACHOD_01974	contig_10	79893	80504	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.58	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P3090_PCD_20072020-0	DACHOD_01975	contig_10	80601	81488	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	93.56	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P3090_PCD_20072020-0	DACHOD_01976	contig_10	81591	82505	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	97.70	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P3090_PCD_20072020-0	DACHOD_01977	contig_10	82528	82986	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	152	152	100.00	97.37	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P3090_PCD_20072020-0	DACHOD_01980	contig_10	86367	89216	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.47	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
P3090_PCD_20072020-0	DACHOD_02386	contig_13	5321	6106	+	aph(3')	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	261	266	97.74	42.15	261	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
P3090_PCD_20072020-0	DACHOD_00313	contig_2	30960	32186	-	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	HMM	408	450	100.00	84.00	450	WP_232734851.1	ELC family class C beta-lactamase	NF050047.1	ELC family class C beta-lactamase
P3090_PCD_20072020-0	DACHOD_00400	contig_2	138143	138970	+	blaOXA-114f	class D beta-lactamase OXA-114f	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_024069684.1	class D beta-lactamase OXA-114f	NF033818.0	OXA-114 family class D beta-lactamase
P3090_PCD_20072020-0	DACHOD_03935	contig_29	12272	12922	-	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	81.07	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
P3090_PCD_20072020-0	DACHOD_05456	contig_64	544	1740	+	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	398	399	96.49	60.52	385	WP_000804064.1	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
