Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA7025149_ERR4298738	OKAMKJ_02958	contig_21	99979	100764	-	aph(3')	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	261	266	97.74	42.15	261	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
SAMEA7025149_ERR4298738	OKAMKJ_03097	contig_23	26641	27138	-	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100.00	93.33	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03098	contig_23	27135	28850	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	91.24	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03099	contig_23	28854	29294	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	97.26	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03101	contig_23	30509	31120	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.58	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03102	contig_23	31217	32104	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	93.56	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03103	contig_23	32207	33121	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	97.70	304	APX31172.1	heat resistance protein YfdX1	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03104	contig_23	33144	33602	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	152	152	100.00	97.37	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
SAMEA7025149_ERR4298738	OKAMKJ_03107	contig_23	36983	39832	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.47	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
SAMEA7025149_ERR4298738	OKAMKJ_03420	contig_27	12365	13015	-	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	81.07	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
SAMEA7025149_ERR4298738	OKAMKJ_00790	contig_4	107825	108652	+	blaOXA-114f	class D beta-lactamase OXA-114f	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_024069684.1	class D beta-lactamase OXA-114f	NF033818.0	OXA-114 family class D beta-lactamase
SAMEA7025149_ERR4298738	OKAMKJ_04644	contig_47	13245	14537	+	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	HMM	430	450	100.00	87.78	450	WP_232734851.1	ELC family class C beta-lactamase	NF050047.1	ELC family class C beta-lactamase
SAMEA7025149_ERR4298738	OKAMKJ_05871	contig_96	1167	2363	+	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	398	399	96.49	60.52	385	WP_000804064.1	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
