Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P4904_CF_28062024-0	NAJKJO_00450	contig_1	502339	502836	-	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100.00	92.73	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA
P4904_CF_28062024-0	NAJKJO_00451	contig_1	502833	504548	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	90.72	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P4904_CF_28062024-0	NAJKJO_00452	contig_1	504552	504992	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	93.84	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P4904_CF_28062024-0	NAJKJO_00454	contig_1	506207	506818	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	92.12	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P4904_CF_28062024-0	NAJKJO_00455	contig_1	506915	507802	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	92.88	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P4904_CF_28062024-0	NAJKJO_00456	contig_1	507905	508819	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	96.71	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P4904_CF_28062024-0	NAJKJO_00457	contig_1	508858	509298	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	PARTIALP	146	152	82.24	96.00	125	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P4904_CF_28062024-0	NAJKJO_00460	contig_1	512682	515531	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.47	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
P4904_CF_28062024-0	NAJKJO_04790	contig_12	89418	90068	+	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	80.58	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
P4904_CF_28062024-0	NAJKJO_05607	contig_17	108444	109340	+	blaAXC-1	carbapenem-hydrolyzing class A beta-lactamase AXC-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	298	298	100.00	100.00	298	WP_020924773.1	carbapenem-hydrolyzing class A beta-lactamase AXC-1	NF033929.1	AXC family carbapenem-hydrolyzing class A beta-lactamase
P4904_CF_28062024-0	NAJKJO_00760	contig_2	90290	91570	+	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	HMM	426	450	100.00	86.44	450	WP_232734851.1	ELC family class C beta-lactamase	NF050047.1	ELC family class C beta-lactamase
P4904_CF_28062024-0	NAJKJO_01138	contig_2	504823	505608	-	aph(3')	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	261	266	97.74	42.53	261	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
P4904_CF_28062024-0	NAJKJO_06237	contig_39	1143	1502	+	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	HMM	119	120	99.17	59.66	119	AAA93060.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
P4904_CF_28062024-0	NAJKJO_01928	contig_4	66	500	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	144	144	100.00	100.00	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
P4904_CF_28062024-0	NAJKJO_01929	contig_4	572	922	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	116	116	100.00	93.10	116	CAA70196.1	mercuric transport protein MerT	NA	NA
P4904_CF_28062024-0	NAJKJO_01930	contig_4	935	1210	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	91	91	100.00	100.00	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
P4904_CF_28062024-0	NAJKJO_01931	contig_4	1282	2967	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	98.75	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
P4904_CF_28062024-0	NAJKJO_01932	contig_4	2985	3350	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	121	121	100.00	100.00	121	ABF13034.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
P4904_CF_28062024-0	NAJKJO_01933	contig_4	3347	3583	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	78	78	100.00	100.00	78	CAA77325.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
